Condition,HCUP_ORDER,GROUP_HCUP,DIAGNOSIS_CODE,SHORT_DESCRIPTION
DIABETES,50,Diabetes mellitus with complications,E0836,Diabetes due to underlying condition w diabetic cataract
DIABETES,50,Diabetes mellitus with complications,E0837X1,"Diab with diabetic macular edema, resolved fol trtmt, r eye"
DIABETES,50,Diabetes mellitus with complications,E0837X2,"Diab with diab macular edema, resolved fol trtmt, left eye"
DIABETES,50,Diabetes mellitus with complications,E0837X3,"Diabetes with diabetic macular edema, resolved fol trtmt, bi"
DIABETES,50,Diabetes mellitus with complications,E0837X9,"Diab with diabetic macular edema, resolved fol trtmt, unsp"
DIABETES,50,Diabetes mellitus with complications,E0839,Diabetes due to undrl condition w oth diabetic opth comp
DIABETES,50,Diabetes mellitus with complications,E0840,"Diabetes due to underlying condition w diabetic neurop, unsp"
DIABETES,50,Diabetes mellitus with complications,E0841,Diabetes due to undrl condition w diabetic mononeuropathy
DIABETES,50,Diabetes mellitus with complications,E0842,Diabetes due to underlying condition w diabetic polyneurop
DIABETES,50,Diabetes mellitus with complications,E0843,Diab due to undrl cond w diabetic autonm (poly)neuropathy
DIABETES,50,Diabetes mellitus with complications,E0844,Diabetes due to underlying condition w diabetic amyotrophy
DIABETES,50,Diabetes mellitus with complications,E0849,Diabetes due to undrl condition w oth diabetic neuro comp
DIABETES,50,Diabetes mellitus with complications,E0851,Diab due to undrl cond w diab prph angiopath w/o gangrene
DIABETES,50,Diabetes mellitus with complications,E0852,Diab due to undrl cond w diabetic prph angiopath w gangrene
DIABETES,50,Diabetes mellitus with complications,E0859,Diabetes due to underlying condition w oth circulatory comp
DIABETES,50,Diabetes mellitus with complications,E08610,Diabetes due to undrl cond w diabetic neuropathic arthrop
DIABETES,50,Diabetes mellitus with complications,E08618,Diabetes due to underlying condition w oth diabetic arthrop
DIABETES,50,Diabetes mellitus with complications,E08620,Diabetes due to underlying condition w diabetic dermatitis
DIABETES,50,Diabetes mellitus with complications,E08621,Diabetes mellitus due to underlying condition w foot ulcer
DIABETES,50,Diabetes mellitus with complications,E08622,Diabetes due to underlying condition w oth skin ulcer
DIABETES,50,Diabetes mellitus with complications,E08628,Diabetes due to underlying condition w oth skin comp
DIABETES,50,Diabetes mellitus with complications,E08630,Diabetes due to underlying condition w periodontal disease
DIABETES,50,Diabetes mellitus with complications,E08638,Diabetes due to underlying condition w oth oral comp
DIABETES,50,Diabetes mellitus with complications,E08641,Diabetes due to underlying condition w hypoglycemia w coma
DIABETES,50,Diabetes mellitus with complications,E08649,Diabetes due to underlying condition w hypoglycemia w/o coma
DIABETES,50,Diabetes mellitus with complications,E0865,Diabetes due to underlying condition w hyperglycemia
DIABETES,50,Diabetes mellitus with complications,E0869,Diabetes due to underlying condition w oth complication
DIABETES,50,Diabetes mellitus with complications,E088,Diabetes due to underlying condition w unsp complications
DIABETES,50,Diabetes mellitus with complications,E0900,Drug/chem diab w hyprosm w/o nonket hyprgly-hypros coma
DIABETES,50,Diabetes mellitus with complications,E0901,Drug/chem diabetes mellitus w hyperosmolarity w coma
DIABETES,50,Diabetes mellitus with complications,E0910,Drug/chem diabetes mellitus w ketoacidosis w/o coma
DIABETES,50,Diabetes mellitus with complications,E0911,Drug/chem diabetes mellitus w ketoacidosis w coma
DIABETES,50,Diabetes mellitus with complications,E0921,Drug/chem diabetes mellitus w diabetic nephropathy
DIABETES,50,Diabetes mellitus with complications,E0922,Drug/chem diabetes w diabetic chronic kidney disease
DIABETES,50,Diabetes mellitus with complications,E0929,Drug/chem diabetes w oth diabetic kidney complication
DIABETES,50,Diabetes mellitus with complications,E09311,Drug/chem diabetes w unsp diabetic rtnop w macular edema
DIABETES,50,Diabetes mellitus with complications,E09319,Drug/chem diabetes w unsp diabetic rtnop w/o macular edema
DIABETES,50,Diabetes mellitus with complications,E09321,Drug or chemical induced diabetes mellitus with mild nonprol
DIABETES,50,Diabetes mellitus with complications,E093211,"Drug/chem diab with mild nonp rtnop with mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093212,"Drug/chem diab with mild nonp rtnop with mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093213,"Drug/chem diab with mild nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093219,"Drug/chem diab with mild nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09329,Drug or chemical induced diabetes mellitus with mild nonprol
DIABETES,50,Diabetes mellitus with complications,E093291,"Drug/chem diab with mild nonp rtnop w/o mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093292,"Drug/chem diab with mild nonp rtnop w/o mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093293,"Drug/chem diab with mild nonp rtnop without mclr edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093299,"Drug/chem diab with mild nonp rtnop without mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09331,Drug or chemical induced diabetes mellitus with moderate non
DIABETES,50,Diabetes mellitus with complications,E093311,"Drug/chem diab with mod nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093312,"Drug/chem diab with mod nonp rtnop with macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093313,"Drug/chem diab with mod nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093319,"Drug/chem diab with mod nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09339,Drug or chemical induced diabetes mellitus with moderate non
DIABETES,50,Diabetes mellitus with complications,E093391,"Drug/chem diab with mod nonp rtnop without mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093392,"Drug/chem diab with mod nonp rtnop without mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093393,"Drug/chem diab with mod nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093399,"Drug/chem diab with mod nonp rtnop without mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09341,Drug or chemical induced diabetes mellitus with severe nonpr
DIABETES,50,Diabetes mellitus with complications,E093411,"Drug/chem diab with severe nonp rtnop with mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093412,"Drug/chem diab with severe nonp rtnop with mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093413,"Drug/chem diab with severe nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093419,"Drug/chem diab with severe nonp rtnop with mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09349,Drug or chemical induced diabetes mellitus with severe nonpr
DIABETES,50,Diabetes mellitus with complications,E093491,"Drug/chem diab with severe nonp rtnop w/o mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093492,"Drug/chem diab with severe nonp rtnop w/o mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093493,"Drug/chem diab with severe nonp rtnop without mclr edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093499,"Drug/chem diab with severe nonp rtnop w/o mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E09351,Drug or chemical induced diabetes mellitus with proliferativ
DIABETES,50,Diabetes mellitus with complications,E093511,"Drug/chem diab with prolif diab rtnop with mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093512,"Drug/chem diab with prolif diab rtnop with mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093513,"Drug/chem diab with prolif diab rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093519,"Drug/chem diab with prolif diab rtnop with mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E093521,"Drug/chem diab w prolif diab rtnop w trctn dtch macula,r eye"
DIABETES,50,Diabetes mellitus with complications,E093522,"Drug/chem diab w prolif diab rtnop w trctn dtch macula,l eye"
DIABETES,50,Diabetes mellitus with complications,E093523,"Drug/chem diab w prolif diab rtnop w trctn dtch macula, bi"
DIABETES,50,Diabetes mellitus with complications,E093529,"Drug/chem diab w prolif diab rtnop w trctn dtch macula, unsp"
DIABETES,50,Diabetes mellitus with complications,E093531,"Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla,r eye"
DIABETES,50,Diabetes mellitus with complications,E093532,"Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla,l eye"
DIABETES,50,Diabetes mellitus with complications,E093533,"Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla, bi"
DIABETES,50,Diabetes mellitus with complications,E093539,"Drug/chem diab w prolif diab rtnop w trctn dtch n-mcla, unsp"
DIABETES,50,Diabetes mellitus with complications,E093541,"Drug/chem diab w prolif diab rtnop with comb detach, r eye"
DIABETES,50,Diabetes mellitus with complications,E093542,"Drug/chem diab w prolif diab rtnop with comb detach, l eye"
DIABETES,50,Diabetes mellitus with complications,E093543,"Drug/chem diab with prolif diab rtnop with comb detach, bi"
DIABETES,50,Diabetes mellitus with complications,E093549,"Drug/chem diab with prolif diab rtnop with comb detach, unsp"
DIABETES,50,Diabetes mellitus with complications,E093551,"Drug/chem diabetes with stable prolif diabetic rtnop, r eye"
DIABETES,50,Diabetes mellitus with complications,E093552,"Drug/chem diab with stable prolif diabetic rtnop, left eye"
DIABETES,50,Diabetes mellitus with complications,E093553,"Drug/chem diabetes with stable prolif diabetic rtnop, bi"
DIABETES,50,Diabetes mellitus with complications,E093559,"Drug/chem diabetes with stable prolif diabetic rtnop, unsp"
DIABETES,50,Diabetes mellitus with complications,E09359,Drug or chemical induced diabetes mellitus with proliferativ
DIABETES,50,Diabetes mellitus with complications,E093591,"Drug/chem diab with prolif diab rtnop w/o mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E093592,"Drug/chem diab with prolif diab rtnop w/o mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E093593,"Drug/chem diab with prolif diab rtnop without mclr edema, bi"
DIABETES,50,Diabetes mellitus with complications,E093599,"Drug/chem diab with prolif diab rtnop w/o mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E0936,Drug/chem diabetes mellitus w diabetic cataract
DIABETES,50,Diabetes mellitus with complications,E0937X1,"Drug/chem diab w diab mclr edma, resolved fol trtmt, r eye"
DIABETES,50,Diabetes mellitus with complications,E0937X2,"Drug/chem diab w diab mclr edma, resolved fol trtmt, l eye"
DIABETES,50,Diabetes mellitus with complications,E0937X3,"Drug/chem diab with diab mclr edema, resolved fol trtmt, bi"
DIABETES,50,Diabetes mellitus with complications,E0937X9,"Drug/chem diab with diab mclr edma, resolved fol trtmt, unsp"
DIABETES,50,Diabetes mellitus with complications,E0939,Drug/chem diabetes w oth diabetic ophthalmic complication
DIABETES,50,Diabetes mellitus with complications,E0940,"Drug/chem diabetes w neuro comp w diabetic neuropathy, unsp"
DIABETES,50,Diabetes mellitus with complications,E0941,Drug/chem diabetes w neuro comp w diabetic mononeuropathy
DIABETES,50,Diabetes mellitus with complications,E0942,Drug/chem diabetes w neurological comp w diabetic polyneurop
DIABETES,50,Diabetes mellitus with complications,E0943,Drug/chem diab w neuro comp w diab autonm (poly)neuropathy
DIABETES,50,Diabetes mellitus with complications,E0944,Drug/chem diabetes w neurological comp w diabetic amyotrophy
DIABETES,50,Diabetes mellitus with complications,E0949,Drug/chem diabetes w neuro comp w oth diabetic neuro comp
DIABETES,50,Diabetes mellitus with complications,E0951,Drug/chem diabetes w diabetic prph angiopath w/o gangrene
DIABETES,50,Diabetes mellitus with complications,E0952,Drug/chem diabetes w diabetic prph angiopath w gangrene
DIABETES,50,Diabetes mellitus with complications,E0959,Drug/chem diabetes mellitus w oth circulatory complications
DIABETES,50,Diabetes mellitus with complications,E09610,Drug/chem diabetes w diabetic neuropathic arthropathy
DIABETES,50,Diabetes mellitus with complications,E09618,Drug/chem diabetes mellitus w oth diabetic arthropathy
DIABETES,50,Diabetes mellitus with complications,E09620,Drug/chem diabetes mellitus w diabetic dermatitis
DIABETES,50,Diabetes mellitus with complications,E09621,Drug or chemical induced diabetes mellitus with foot ulcer
DIABETES,50,Diabetes mellitus with complications,E09622,Drug or chemical induced diabetes mellitus w oth skin ulcer
DIABETES,50,Diabetes mellitus with complications,E09628,Drug/chem diabetes mellitus w oth skin complications
DIABETES,50,Diabetes mellitus with complications,E09630,Drug/chem diabetes mellitus w periodontal disease
DIABETES,50,Diabetes mellitus with complications,E09638,Drug/chem diabetes mellitus w oth oral complications
DIABETES,50,Diabetes mellitus with complications,E09641,Drug/chem diabetes mellitus w hypoglycemia w coma
DIABETES,50,Diabetes mellitus with complications,E09649,Drug/chem diabetes mellitus w hypoglycemia w/o coma
DIABETES,50,Diabetes mellitus with complications,E0965,Drug or chemical induced diabetes mellitus w hyperglycemia
DIABETES,50,Diabetes mellitus with complications,E0969,Drug/chem diabetes mellitus w oth complication
DIABETES,50,Diabetes mellitus with complications,E098,Drug/chem diabetes mellitus w unsp complications
DIABETES,50,Diabetes mellitus with complications,E1010,Type 1 diabetes mellitus with ketoacidosis without coma
DIABETES,50,Diabetes mellitus with complications,E1011,Type 1 diabetes mellitus with ketoacidosis with coma
DIABETES,50,Diabetes mellitus with complications,E1021,Type 1 diabetes mellitus with diabetic nephropathy
DIABETES,50,Diabetes mellitus with complications,E1022,Type 1 diabetes mellitus w diabetic chronic kidney disease
DIABETES,50,Diabetes mellitus with complications,E1029,Type 1 diabetes mellitus w oth diabetic kidney complication
DIABETES,50,Diabetes mellitus with complications,E10311,Type 1 diabetes w unsp diabetic retinopathy w macular edema
DIABETES,50,Diabetes mellitus with complications,E10319,Type 1 diabetes w unsp diabetic rtnop w/o macular edema
DIABETES,50,Diabetes mellitus with complications,E10321,Type 1 diabetes mellitus with mild nonproliferative diabetic
DIABETES,50,Diabetes mellitus with complications,E103211,"Type 1 diab with mild nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103212,"Type 1 diab with mild nonp rtnop with macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103213,"Type 1 diabetes with mild nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103219,"Type 1 diab with mild nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10329,Type 1 diabetes mellitus with mild nonproliferative diabetic
DIABETES,50,Diabetes mellitus with complications,E103291,"Type 1 diab with mild nonp rtnop without mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103292,"Type 1 diab with mild nonp rtnop without mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103293,"Type 1 diab with mild nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103299,"Type 1 diab with mild nonp rtnop without macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10331,Type 1 diabetes mellitus with moderate nonproliferative diab
DIABETES,50,Diabetes mellitus with complications,E103311,"Type 1 diab with mod nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103312,"Type 1 diab with mod nonp rtnop with macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103313,"Type 1 diab with moderate nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103319,"Type 1 diab with mod nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10339,Type 1 diabetes mellitus with moderate nonproliferative diab
DIABETES,50,Diabetes mellitus with complications,E103391,"Type 1 diab with mod nonp rtnop without macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103392,"Type 1 diab with mod nonp rtnop without macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103393,"Type 1 diab with mod nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103399,"Type 1 diab with mod nonp rtnop without macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10341,Type 1 diabetes mellitus with severe nonproliferative diabet
DIABETES,50,Diabetes mellitus with complications,E103411,"Type 1 diab with severe nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103412,"Type 1 diab with severe nonp rtnop with macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103413,"Type 1 diab with severe nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103419,"Type 1 diab with severe nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10349,Type 1 diabetes mellitus with severe nonproliferative diabet
DIABETES,50,Diabetes mellitus with complications,E103491,"Type 1 diab with severe nonp rtnop without mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103492,"Type 1 diab with severe nonp rtnop without mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103493,"Type 1 diab with severe nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103499,"Type 1 diab with severe nonp rtnop without mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E10351,Type 1 diabetes mellitus with proliferative diabetic retinop
DIABETES,50,Diabetes mellitus with complications,E103511,"Type 1 diab with prolif diab rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103512,"Type 1 diab with prolif diab rtnop with macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103513,"Type 1 diab with prolif diab rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103519,"Type 1 diab with prolif diab rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E103521,"Type 1 diab w prolif diab rtnop w trctn dtch macula, r eye"
DIABETES,50,Diabetes mellitus with complications,E103522,"Type 1 diab w prolif diab rtnop w trctn dtch macula, l eye"
DIABETES,50,Diabetes mellitus with complications,E103523,"Type 1 diab w prolif diab rtnop with trctn dtch macula, bi"
DIABETES,50,Diabetes mellitus with complications,E103529,"Type 1 diab w prolif diab rtnop with trctn dtch macula, unsp"
DIABETES,50,Diabetes mellitus with complications,E103531,"Type 1 diab w prolif diab rtnop w trctn dtch n-mcla, r eye"
DIABETES,50,Diabetes mellitus with complications,E103532,"Type 1 diab w prolif diab rtnop w trctn dtch n-mcla, l eye"
DIABETES,50,Diabetes mellitus with complications,E103533,"Type 1 diab w prolif diab rtnop with trctn dtch n-mcla, bi"
DIABETES,50,Diabetes mellitus with complications,E103539,"Type 1 diab w prolif diab rtnop with trctn dtch n-mcla, unsp"
DIABETES,50,Diabetes mellitus with complications,E103541,"Type 1 diab with prolif diab rtnop with comb detach, r eye"
DIABETES,50,Diabetes mellitus with complications,E103542,"Type 1 diab with prolif diab rtnop with comb detach, l eye"
DIABETES,50,Diabetes mellitus with complications,E103543,"Type 1 diab with prolif diabetic rtnop with comb detach, bi"
DIABETES,50,Diabetes mellitus with complications,E103549,"Type 1 diab with prolif diab rtnop with comb detach, unsp"
DIABETES,50,Diabetes mellitus with complications,E103551,"Type 1 diabetes with stable prolif diabetic rtnop, right eye"
DIABETES,50,Diabetes mellitus with complications,E103552,"Type 1 diabetes with stable prolif diabetic rtnop, left eye"
DIABETES,50,Diabetes mellitus with complications,E103553,"Type 1 diabetes with stable prolif diabetic rtnop, bilateral"
DIABETES,50,Diabetes mellitus with complications,E103559,"Type 1 diabetes with stable prolif diabetic rtnop, unsp"
DIABETES,50,Diabetes mellitus with complications,E10359,Type 1 diabetes mellitus with proliferative diabetic retinop
DIABETES,50,Diabetes mellitus with complications,E103591,"Type 1 diab with prolif diab rtnop without mclr edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E103592,"Type 1 diab with prolif diab rtnop without mclr edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E103593,"Type 1 diab with prolif diab rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E103599,"Type 1 diab with prolif diab rtnop without mclr edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E1036,Type 1 diabetes mellitus with diabetic cataract
DIABETES,50,Diabetes mellitus with complications,E1037X1,"Type 1 diab with diab mclr edema, resolved fol trtmt, r eye"
