DIAGNOSIS_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION,GROUP1,GROUP2,GROUP3,GROUP_HCUP_ID,GROUP_HCUP,HCUP_ORDER
85315,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain hem open-deep coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85316,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",Brain hem open-coma NOS,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85319,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with concussion, unspecified",Brain hem opn-concussion,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85400,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness",Brain injury NEC,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85401,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness",Brain injury NEC-no coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85402,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Brain inj NEC-brief coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85403,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain inj NEC-mod coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85404,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Brain inj NEC-proln coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85405,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain inj NEC-deep coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85406,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain inj NEC-coma NOS,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85409,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with concussion, unspecified",Brain inj NEC-concussion,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85410,"Intracranial injury of other and unspecified nature with open intracranial wound, unspecified state of consciousness",Brain injury w opn wnd,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85411,"Intracranial injury of other and unspecified nature with open intracranial wound, with no loss of consciousness",Opn brain inj w/o coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85412,"Intracranial injury of other and unspecified nature with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn brain inj-brief coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85413,"Intracranial injury of other and unspecified nature with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn brain inj-mod coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85414,"Intracranial injury of other and unspecified nature with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn brain inj-proln coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85415,"Intracranial injury of other and unspecified nature with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn brain inj-deep coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85416,"Intracranial injury of other and unspecified nature with open intracranial wound, with loss of consciousness of unspecified duration",Open brain inj-coma NOS,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
85419,"Intracranial injury of other and unspecified nature with open intracranial wound, with concussion, unspecified",Opn brain inj-concussion,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE,233,Intracranial injury,221
8600,Traumatic pneumothorax without mention of open wound into thorax,Traum pneumothorax-close,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
8601,Traumatic pneumothorax with open wound into thorax,Traum pneumothorax-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
8602,Traumatic hemothorax without mention of open wound into thorax,Traum hemothorax-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
8603,Traumatic hemothorax with open wound into thorax,Traum hemothorax-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
8604,Traumatic pneumohemothorax without mention of open wound into thorax,Traum pneumohemothor-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
8605,Traumatic pneumohemothorax with open wound into thorax,Traum pneumohemothor-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",TRAUMATIC PNEUMOTHORAX AND HEMOTHORAX,234,Crushing injury or internal injury,222
86100,Unspecified injury of heart without mention of open wound into thorax,Heart injury NOS-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86101,Contusion of heart without mention of open wound into thorax,Heart contusion-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86102,Laceration of heart without penetration of heart chambers or without mention of open wound into thorax,Heart laceration-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86103,Laceration of heart with penetration of heart chambers without mention of open wound into thorax,Heart chamber lacerat-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86110,Unspecified injury of heart with open wound into thorax,Heart injury NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86111,Contusion of heart with open wound into thorax,Heart contusion-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86112,"Laceration of heart without penetration of heart chambers, with open wound into thorax",Heart laceration-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86113,Laceration of heart with penetration of heart chambers with open wound into thorax,Heart chamber lacer-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86120,Unspecified injury of lung without mention of open wound into thorax,Lung injury NOS-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86121,Contusion of lung without mention of open wound into thorax,Lung contusion-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86122,Laceration of lung without mention of open wound into thorax,Lung laceration-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86130,Unspecified injury of lung with open wound into thorax,Lung injury NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86131,Contusion of lung with open wound into thorax,Lung contusion-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
86132,Laceration of lung with open wound into thorax,Lung laceration-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO HEART AND LUNG,234,Crushing injury or internal injury,222
8620,"Injury to diaphragm, without mention of open wound into cavity",Diaphragm injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
8621,"Injury to diaphragm, with open wound into cavity",Diaphragm injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86221,Injury to bronchus without mention of open wound into cavity,Bronchus injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86222,Injury to esophagus without mention of open wound into cavity,Esophagus injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86229,Injury to other specified intrathoracic organs without mention of open wound into cavity,Intrathoracic inj NEC-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86231,Injury to bronchus with open wound into cavity,Bronchus injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86232,Injury to esophagus with open wound into cavity,Esophagus injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
86239,Injury to other specified intrathoracic organs with open wound into cavity,Intrathorac inj NEC-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
8628,"Injury to multiple and unspecified intrathoracic organs, without mention of open wound into cavity",Intrathoracic inj NOS-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
8629,"Injury to multiple and unspecified intrathoracic organs, with open wound into cavity",Intrathorac inj NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,234,Crushing injury or internal injury,222
8630,"Injury to stomach, without mention of open wound into cavity",Stomach injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
8631,"Injury to stomach, with open wound into cavity",Stomach injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86320,"Injury to small intestine, unspecified site, without open wound into cavity",Small intest inj NOS-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86321,"Injury to duodenum, without open wound into cavity",Duodenum injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86329,"Other injury to small intestine, without mention of open wound into cavity",Small intest inj NEC-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86330,"Injury to small intestine, unspecified site, with open wound into cavity",Small intest inj NOS-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86331,"Injury to duodenum, with open wound into cavity",Duodenum injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86339,"Other injury to small intestine, with open wound into cavity",Small intest inj NEC-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86340,"Injury to colon, unspecified site, without mention of open wound into cavity",Colon injury NOS-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86341,"Injury to ascending [right] colon, without mention of open wound into cavity",Ascending colon inj-clos,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86342,"Injury to transverse colon, without mention of open wound into cavity",Transverse colon inj-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86343,"Injury to descending [left] colon, without mention of open wound into cavity",Descending colon inj-cl,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86344,"Injury to sigmoid colon, without mention of open wound into cavity",Sigmoid colon inj-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86345,"Injury to rectum, without mention of open wound into cavity",Rectum injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86346,"Injury to multiple sites in colon and rectum, without mention of open wound into cavity",Colon inj mult site-clos,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86349,"Other injury to colon or rectum, without mention of open wound into cavity",Colon injury NEC-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86350,"Injury to colon, unspecified site, with open wound into cavity",Colon injury NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86351,"Injury to ascending [right] colon, with open wound into cavity",Ascending colon inj-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86352,"Injury to transverse colon, with open wound into cavity",Transverse colon inj-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86353,"Injury to descending [left] colon, with open wound into cavity",Descending colon inj-opn,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86354,"Injury to sigmoid colon, with open wound into cavity",Sigmoid colon inj-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86355,"Injury to rectum, with open wound into cavity",Rectum injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86356,"Injury to multiple sites in colon and rectum, with open wound into cavity",Colon inj mult site-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86359,"Other injury to colon or rectum, with open wound into cavity",Colon injury NEC-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86380,"Injury to gastrointestinal tract, unspecified site, without mention of open wound into cavity",GI injury NOS-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86381,"Injury to pancreas, head, without mention of open wound into cavity","Pancreas, head inj-close",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86382,"Injury to pancreas, body, without mention of open wound into cavity","Pancreas, body inj-close",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86383,"Injury to pancreas, tail, without mention of open wound into cavity","Pancreas, tail inj-close",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86384,"Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity",Pancreas injury NOS-clos,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86385,"Injury to appendix, without mention of open wound into cavity",Appendix injury-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86389,"Injury to other gastrointestinal sites, without mention of open wound into cavity",GI injury NEC-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86390,"Injury to gastrointestinal tract, unspecified site, with open wound into cavity",GI injury NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86391,"Injury to pancreas, head, with open wound into cavity","Pancreas, head inj-open",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86392,"Injury to pancreas, body, with open wound into cavity","Pancreas, body inj-open",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86393,"Injury to pancreas, tail, with open wound into cavity","Pancreas, tail inj-open",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86394,"Injury to pancreas, multiple and unspecified sites, with open wound into cavity",Pancreas injury NOS-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86395,"Injury to appendix, with open wound into cavity",Appendix injury-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86399,"Injury to other gastrointestinal sites, with open wound into cavity",GI injury NEC-open,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO GASTROINTESTINAL TRACT,234,Crushing injury or internal injury,222
86400,"Injury to liver without mention of open wound into cavity, unspecified injury",Liver injury NOS-closed,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO LIVER,234,Crushing injury or internal injury,222
86401,"Injury to liver without mention of open wound into cavity, hematoma and contusion",Liver hematoma/contusion,INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO LIVER,234,Crushing injury or internal injury,222
86402,"Injury to liver without mention of open wound into cavity, laceration, minor","Liver laceration, minor",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO LIVER,234,Crushing injury or internal injury,222
86403,"Injury to liver without mention of open wound into cavity, laceration, moderate","Liver laceration, mod",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO LIVER,234,Crushing injury or internal injury,222
86404,"Injury to liver without mention of open wound into cavity, laceration, major","Liver laceration, major",INJURY AND POISONING,"INTERNAL INJURY OF CHEST, ABDOMEN, AND PELVIS",INJURY TO LIVER,234,Crushing injury or internal injury,222
